title,photo_url,res1,res2,res3,res4,mos1,mos2,mos3,mos4,final_mos
  a colorful square with a number on it,https://storage.yandexcloud.net/svg-images-first-pack/goodColorBannersvg.png,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.75
  a woman in a black and purple outfit,https://storage.yandexcloud.net/svg-images-first-pack/good95b13e34svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  abstract colorful background with many different colors,https://storage.yandexcloud.net/svg-images-first-pack/good1527739849svg.png,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
  a cartoon character wearing a hat and holding a stick,https://storage.yandexcloud.net/svg-images-first-pack/good1307483012svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1534921052svg.png,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75
  a map of the world with a purple rectangle on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBouvetIslandlocationsvg.png,2.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAAAsvg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a brown paper bag with two eyes,https://storage.yandexcloud.net/svg-images-first-pack/goodAX11Youknewthiswouldcomesvg.png,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBuddhaLotussvg.png,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodarrowdownsvg.png,4.0,2.0,2.0,2.0,4.5,3.5,3.5,3.5,3.75
  a pie chart with a circle in the middle,https://storage.yandexcloud.net/svg-images-first-pack/good1529053464svg.png,3.0,2.0,1.0,1.0,3.5,3.0,2.0,1.0,2.375
  angel clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodAngel5svg.png,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good15771075952020elfguyssvg.png,6.0,6.0,6.0,6.0,3.5,3.5,3.5,3.5,3.5
  an umbrella is shown on a blue background with black squares,https://storage.yandexcloud.net/svg-images-first-pack/good1431402463svg.png,6.0,6.0,6.0,6.0,3.5,3.5,4.5,4.5,4.0
  the logo of the red and white logo,https://storage.yandexcloud.net/svg-images-first-pack/good1512759709svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a butterfly with blue and red wings,https://storage.yandexcloud.net/svg-images-first-pack/good1296736396svg.png,4.0,4.0,4.0,4.0,4.5,3.5,3.5,3.0,3.625
  gold coins clipart - clipart gold coins,https://storage.yandexcloud.net/svg-images-first-pack/goodcoins2svg.png,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.0,3.375
  an orange digital clock with numbers on it,https://storage.yandexcloud.net/svg-images-first-pack/good16SegmentNumberssvg.png,4.0,4.0,4.0,4.0,3.0,2.5,2.5,2.5,2.625
  a pineapple is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodchovynzPineappleIconsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,3.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter255svg.png,5.0,4.0,3.0,4.0,3.0,2.5,2.0,2.5,2.5
  arabic calligraphy clipart,https://storage.yandexcloud.net/svg-images-first-pack/goodAlinnImamBagherASsvg.png,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.75
  a fleur de lis made up of many different colored pieces,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulFleurDeLisFractal4svg.png,5.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.125
  a black and white swan on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodArchitettoCignosvg.png,1.0,1.0,1.0,1.0,2.5,1.0,1.5,2.0,1.75
  two pieces of moon cakes are shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1576313237mooncakesver2svg.png,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.5,3.625
  pig clipart free download,https://storage.yandexcloud.net/svg-images-first-pack/good1409908930svg.png,5.0,5.0,5.0,5.0,5.0,4.5,4.5,5.0,4.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1544590942svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a blue house with yellow trim and a brown roof,https://storage.yandexcloud.net/svg-images-first-pack/good1397765364svg.png,5.0,5.0,5.0,5.0,3.5,3.5,3.5,3.5,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1312278370svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a colorful circular design with many different colored branches,https://storage.yandexcloud.net/svg-images-first-pack/good1551737582svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a truck with a white board on the side,https://storage.yandexcloud.net/svg-images-first-pack/goodcamionsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  an envelope with a stamp on it,https://storage.yandexcloud.net/svg-images-first-pack/good30HotelIconHasPostalOutletsvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a cartoon girl with blue hair and glasses,https://storage.yandexcloud.net/svg-images-first-pack/good570413svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  three colorful flowers on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good3flowerssvg.png,5.0,3.0,2.0,3.0,3.0,3.0,1.5,3.0,2.625
  a cartoon donkey with its tongue out,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousemule2svg.png,5.0,4.0,3.0,4.0,3.5,2.5,2.5,3.0,2.875
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodButterfly1Blacksvg.png,1.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,3.5
  a woman is standing at a desk with a cleaning sign,https://storage.yandexcloud.net/svg-images-first-pack/good1550726622svg.png,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodArtistsvg.png,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.5,2.125
  a cartoon dog is walking through a cave,https://storage.yandexcloud.net/svg-images-first-pack/goodChoLongVang10svg.png,3.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.375
  lord rama with bow and arrow,https://storage.yandexcloud.net/svg-images-first-pack/good1476434656svg.png,4.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.125
  a fly with red eyes and black wings,https://storage.yandexcloud.net/svg-images-first-pack/good1512073932svg.png,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good15272271621svg.png,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.5
  a woman with a red scarf on her head,https://storage.yandexcloud.net/svg-images-first-pack/goodAmeliaEarhartfacesvg.png,3.0,3.0,3.0,2.0,2.0,2.5,2.5,2.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1392150310svg.png,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0
  a cartoon image of a grim looking person holding a pumpkin,https://storage.yandexcloud.net/svg-images-first-pack/good1571911237Trickortreatsvg.png,5.0,1.0,1.0,1.0,4.5,2.0,2.0,2.5,2.75
  a cartoon of a man and a child cooking,https://storage.yandexcloud.net/svg-images-first-pack/good1545448216svg.png,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.25
  a green light shining through a black background,https://storage.yandexcloud.net/svg-images-first-pack/good03innerinvitationpagesvg.png,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.75
  a green snake with a long tail,https://storage.yandexcloud.net/svg-images-first-pack/goodcobrasvg.png,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.5
  a black and white square icon with a white circle,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractTile27svg.png,4.0,3.0,4.0,4.0,3.5,3.0,3.5,3.5,3.375
  a white arrow pointing to the left on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1475640017svg.png,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
  a cartoon character holding a flag,https://storage.yandexcloud.net/svg-images-first-pack/good22svg.png,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.75
  a cartoon blue construction worker wearing a helmet,https://storage.yandexcloud.net/svg-images-first-pack/good1534291277svg.png,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.25
  a celtic knot design in black and white,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticornamentsvg.png,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.25
  a colorful heart shape is shown in the center of a circle,https://storage.yandexcloud.net/svg-images-first-pack/good1536015268svg.png,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.5,4.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCaballerosvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a colorful pattern of text in the shape of a star,https://storage.yandexcloud.net/svg-images-first-pack/good1539372390svg.png,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.5,2.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBigoldspeaker2016012845svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractVortex59svg.png,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5
"  the logo for rhieme a, a company that provides services for the construction industry",https://storage.yandexcloud.net/svg-images-first-pack/goodarchimedesvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a dinosaur is shown in a pixel style,https://storage.yandexcloud.net/svg-images-first-pack/goodBeagleBrosDinosaur1svg.png,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.25
  a drawing of a house with a blue sky and orange clouds,https://storage.yandexcloud.net/svg-images-first-pack/good1392762835svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  the logo for the band is shown in green,https://storage.yandexcloud.net/svg-images-first-pack/good1554303800svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a bar chart with colored blocks,https://storage.yandexcloud.net/svg-images-first-pack/good1289683647svg.png,5.0,5.0,5.0,5.0,4.5,4.5,4.0,3.5,4.125
  a cat is made up of colorful squares,https://storage.yandexcloud.net/svg-images-first-pack/goodCheckeredChromaticKittensvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a rainbow colored wheel is shown on a graph,https://storage.yandexcloud.net/svg-images-first-pack/good1528701433svg.png,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.75
  a circle with a house and trees in it,https://storage.yandexcloud.net/svg-images-first-pack/goodBuurtlocaties13Krekelstraatopenhuissvg.png,3.0,1.0,1.0,2.0,3.5,2.5,2.5,3.0,2.875
"  dark wood texture wallpaper, this is a dark wood texture wallpaper",https://storage.yandexcloud.net/svg-images-first-pack/goodCardBackWoodsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  an old car is shown in green on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1445221716svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodblackboardkidsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  the celtic tree of life logo,https://storage.yandexcloud.net/svg-images-first-pack/goodceltictreesvg.png,5.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,2.5
  an acoustic guitar on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1495162249svg.png,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.5
  a blue and white sign with a bicycle on it,https://storage.yandexcloud.net/svg-images-first-pack/goodB22asvg.png,3.0,3.0,2.0,5.0,3.0,3.0,2.0,5.0,3.25
  a small yellow cheese on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1283175904svg.png,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodazteccalendarsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cupcake display case with cherries on top,https://storage.yandexcloud.net/svg-images-first-pack/goodcakehousesvg.png,5.0,5.0,5.0,5.0,4.5,4.0,5.0,4.0,4.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonMonster6svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  an analog meter on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good100PercentkVmetersvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1571999769dancingcouplesvg.png,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5
  a cartoon man with many different hands and feet,https://storage.yandexcloud.net/svg-images-first-pack/good1526766590svg.png,2.0,2.0,2.0,2.0,3.0,3.0,3.5,3.0,3.125
  a cartoon girl with a purple bow on her head,https://storage.yandexcloud.net/svg-images-first-pack/good550312svg.png,5.0,4.0,5.0,5.0,5.0,4.0,3.5,4.0,4.125
  the map shows the location of the romania and herzegovina,https://storage.yandexcloud.net/svg-images-first-pack/goodBosniaandHerzegovinalocationlabelsvg.png,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.75
  a man in a black and white silhouette with arms outstretched,https://storage.yandexcloud.net/svg-images-first-pack/goodAX11expressionistmalesilouhettesvg.png,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.5
  a blue snowflake with four points,https://storage.yandexcloud.net/svg-images-first-pack/goodAngeloGemmioctagonalbuildingplantsvg.png,1.0,2.0,2.0,1.0,2.5,2.0,3.0,3.0,2.625
  a cartoon octopus wearing a red hat and holding a red balloon,https://storage.yandexcloud.net/svg-images-first-pack/goodcalamarosvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good0063awetoiledemersvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the letter s is shown in white on a red background,https://storage.yandexcloud.net/svg-images-first-pack/good1545321222svg.png,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.75
  bangladesh flag icon,https://storage.yandexcloud.net/svg-images-first-pack/good1347766875svg.png,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1543180068svg.png,1.0,3.0,3.0,1.0,1.0,2.5,3.0,2.0,2.125
  a man wearing a surgical mask,https://storage.yandexcloud.net/svg-images-first-pack/good1531644689svg.png,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.75
  a clapper board with two hearts on it,https://storage.yandexcloud.net/svg-images-first-pack/good1528107566svg.png,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0
  a cartoon girl with a yellow hair and green eyes,https://storage.yandexcloud.net/svg-images-first-pack/goodangeldemonSMILsvg.png,5.0,4.0,3.0,3.0,4.5,4.0,3.0,3.5,3.75
  an old painting of a man with a mustache and a mustache,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardCustersvg.png,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.75
  a cartoon green dinosaur with big eyes,https://storage.yandexcloud.net/svg-images-first-pack/good1525998431svg.png,4.0,3.0,3.0,4.0,4.0,3.0,2.5,3.5,3.25
  a blue background with a white line,https://storage.yandexcloud.net/svg-images-first-pack/good1392738806svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a black and white drawing of a slice of bread,https://storage.yandexcloud.net/svg-images-first-pack/goodbaguettevectorialsimplenegrasvg.png,2.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,2.75
  color pencils - screenshot,https://storage.yandexcloud.net/svg-images-first-pack/goodCoDfsfePencilssvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  two white plastic pipes with a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodavatarvanitynosebonesvg.png,6.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,3.5
  a cartoon cowboy with a gun and hat,https://storage.yandexcloud.net/svg-images-first-pack/good1397195015svg.png,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1514963815svg.png,1.0,2.0,2.0,1.0,1.0,1.5,1.5,1.0,1.25
  bbs bharat bbs bharat bbs bharat bbs bharat,https://storage.yandexcloud.net/svg-images-first-pack/good1532727821svg.png,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.25
  orange juice in a glass with a straw,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousjuiceglasssvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter261svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1529524264svg.png,1.0,1.0,1.0,1.0,3.0,2.5,2.0,1.5,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodboarsvg.png,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0
  bluetooth logo,https://storage.yandexcloud.net/svg-images-first-pack/goodBluetoothsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  deine funktionen,https://storage.yandexcloud.net/svg-images-first-pack/good1416152037svg.png,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBanner46svg.png,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.25
  a4 paper size template,https://storage.yandexcloud.net/svg-images-first-pack/goodA4IIIsvg.png,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5
  a city street with neon lights and buildings,https://storage.yandexcloud.net/svg-images-first-pack/good1545425910svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a yellow box with a shelf on top,https://storage.yandexcloud.net/svg-images-first-pack/good1312875955svg.png,5.0,3.0,3.0,3.0,3.0,2.5,3.0,4.0,3.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractPlant12svg.png,5.0,2.0,3.0,2.0,3.0,2.0,3.0,3.5,2.875
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticOrnamentv4byMerlin2525svg.png,5.0,3.0,4.0,2.0,4.5,3.5,4.0,3.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1471743940svg.png,2.0,2.0,5.0,5.0,2.5,2.5,4.0,4.0,3.25
  a colorful psychedelic spiral design,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern52Coloursvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1544445359svg.png,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
  a green ball with four balls on it,https://storage.yandexcloud.net/svg-images-first-pack/good2x3svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"  the new maserati ghibli is a sleek, black car",https://storage.yandexcloud.net/svg-images-first-pack/good1379595544svg.png,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
  a green alien with arms outstretched,https://storage.yandexcloud.net/svg-images-first-pack/good1471222597svg.png,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.25
  strawberry-blossom fabric by jessica_j on spoonflower - custom fabric,https://storage.yandexcloud.net/svg-images-first-pack/good1528003080svg.png,4.0,4.0,3.0,4.0,3.5,4.0,4.0,4.0,3.875
  a small airplane flying in the clouds with clouds,https://storage.yandexcloud.net/svg-images-first-pack/goodbaraovermelhosolosvg.png,4.0,3.0,3.0,4.0,3.0,2.5,2.5,3.0,2.75
  a red and orange paintbrush on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousquitsvg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a tree and chairs in a circle with a table and chairs,https://storage.yandexcloud.net/svg-images-first-pack/goodBuurtlocaties03BoomSpeelplaatssvg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1501376183svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  the world map shows the location of the island,https://storage.yandexcloud.net/svg-images-first-pack/goodBouvetIslandlocationlabelsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon face with a smile on it,https://storage.yandexcloud.net/svg-images-first-pack/good1412005350svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAngelGabrielsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a sign with a hand holding a bottle of liquid,https://storage.yandexcloud.net/svg-images-first-pack/good1530979337svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  globe icon with a map on top,https://storage.yandexcloud.net/svg-images-first-pack/good1526482458svg.png,5.0,5.0,5.0,5.0,4.5,4.5,5.0,4.5,4.625
  a colorful fleur de lis on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1535063388svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbooksandmagiclampsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  clouds in the sky - screenshot thumbnail,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonClouds2016070602svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbanjoladysvg.png,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,3.5
  christmas night with trees and moon in the sky,https://storage.yandexcloud.net/svg-images-first-pack/goodchristmascard29052015almeidahsvg.png,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.5,2.625
  a black background with white circles and red circles,https://storage.yandexcloud.net/svg-images-first-pack/good1419959888svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a cartoon woman with blonde hair and an open mouth,https://storage.yandexcloud.net/svg-images-first-pack/good1489009329svg.png,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.5,4.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCornerCurvesCrosssvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1512383599svg.png,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.25
  a cartoon of people in costumes and hats,https://storage.yandexcloud.net/svg-images-first-pack/good1530113354svg.png,1.0,2.0,3.0,4.0,3.0,3.5,4.0,4.5,3.75
  a red bug with an angry face,https://storage.yandexcloud.net/svg-images-first-pack/goodbadbugsvg.png,3.0,2.0,4.0,5.0,3.0,2.5,3.5,4.0,3.25
  a triangle with many silver triangles on it,https://storage.yandexcloud.net/svg-images-first-pack/good1455418577svg.png,1.0,2.0,4.0,1.0,3.0,3.5,4.5,3.0,3.5
  a cartoon band with a woman in a pink dress and a man in a red shirt,https://storage.yandexcloud.net/svg-images-first-pack/goodcatbandsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a pixelated image of a girl with blue hair,https://storage.yandexcloud.net/svg-images-first-pack/good570118svg.png,6.0,3.0,3.0,4.0,6.0,3.0,3.0,4.0,4.0
  an open box on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1327009734svg.png,2.0,3.0,2.0,3.0,3.5,4.0,3.5,4.0,3.75
  a blue and black logo with a bunch of water droplets,https://storage.yandexcloud.net/svg-images-first-pack/good1471574885svg.png,2.0,3.0,2.0,2.0,1.5,2.0,1.5,1.5,1.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAthenasvg.png,2.0,3.0,4.0,4.0,3.5,4.0,4.5,4.5,4.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbitteroldmankidssvg.png,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0
  a usb drive with the word 3g mmo on it,https://storage.yandexcloud.net/svg-images-first-pack/good3gmodemsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a snowman is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1482471595svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBenchSilhouettesvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousnoddingdonkeysvg.png,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.5
  a cartoon dinosaur with a long tail,https://storage.yandexcloud.net/svg-images-first-pack/goodArchitettoDinosauri05svg.png,5.0,4.0,5.0,5.0,4.5,4.0,4.5,4.5,4.375
  a black and white icon of a computer chip,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractTile29svg.png,3.0,2.0,2.0,1.0,4.0,3.5,3.5,3.0,3.5
  two people are standing in front of a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1549617135svg.png,1.0,2.0,2.0,1.0,3.0,2.0,1.5,2.0,2.125
  a poster for the radio show the radio man,https://storage.yandexcloud.net/svg-images-first-pack/good1540961738svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter157svg.png,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbookpictogramsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a red frame with gold stars and a ribbon,https://storage.yandexcloud.net/svg-images-first-pack/goodcertificate01svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon woman in a blue dress,https://storage.yandexcloud.net/svg-images-first-pack/goodasian1527230svg.png,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.5
  eletto bolha - screenshot,https://storage.yandexcloud.net/svg-images-first-pack/goodBubbleEffectMaxGavlorsvg.png,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5
